,Opt_val,Eval_val,Loss_val,Eps,Test_val,Violations,Violation_val,Violation_train
0,-35258.5295770823,-30255.066582388867,-30452.951112805004,0.01,-35258.5295770823,0.32444435358047485,4.044584117311987,3.9039840489701647
1,-35227.50415400337,-31436.314439060377,-31551.36978110749,0.08666666666666667,-35227.50415400337,0.2526983320713043,3.15985649467378,3.0728010468032045
2,-35196.47870009072,-32191.366782969562,-32292.948350026087,0.16333333333333336,-35196.47870009072,0.18412695825099945,2.5531513191265485,2.47261337048998
3,-35165.453264655494,-32779.17023982202,-32873.156253746536,0.24000000000000005,-35165.453264655494,0.15936505794525146,2.0542445450322817,1.976669250343323
4,-35134.427818373784,-33311.42218629586,-33393.150781843884,0.3166666666666667,-35134.427818373784,0.14666663110256195,1.5816142979788752,1.5114400784740396
5,-35103.402344793394,-33793.779989109724,-33861.568124773425,0.39333333333333337,-35103.402344793394,0.12317457795143127,1.1335411638625754,1.0730338031843913
6,-35072.37691621376,-34235.395716094084,-34291.0658088082,0.4700000000000001,-35072.37691621376,0.11428568512201309,0.704611236420923,0.6529634108958454
7,-35041.35144750388,-34633.297242883265,-34669.53541084738,0.5466666666666667,-35041.35144750388,0.09206347167491913,0.30005211820680316,0.2651493333303972
8,-35010.32600518459,-34808.24101616356,-34826.75124630615,0.6233333333333334,-35010.32600518459,0.028571439906954765,0.1000833207391927,0.0819200128082102
9,-34979.30056633893,-34834.98284643648,-34841.3122421542,0.7000000000000001,-34979.30056633893,0.015238096006214619,0.04329110140390708,0.0370491985332574
10,-34948.27510618293,-34832.23888784777,-34834.61618142058,0.7766666666666667,-34948.27510618293,0.0057142856530845165,0.015370696942206422,0.013020244472371318
11,-34917.24967895952,-34810.62871198511,-34813.33185991674,0.8533333333333334,-34917.24967895952,0.0031746034510433674,0.006058544723050576,0.0033834110532013598
12,-34886.22421374385,-34783.17353776081,-34785.11539315841,0.9300000000000003,-34886.22421374385,0.0019047620007768273,0.0025251046237364824,0.000602773181734276
13,-34855.198758653336,-34753.32880229792,-34754.65395501934,1.0066666666666668,-34855.198758653336,0.0006349206669256091,0.001356299873994913,4.43584461229408e-05
14,-34824.1733339292,-34722.92582957461,-34723.67333242418,1.0833333333333335,-34824.1733339292,0.0006349206669256091,0.0007400747167628371,0.0
15,-34793.14786807973,-34692.522899916774,-34692.64786657471,1.1600000000000001,-34793.14786807973,0.0006349206669256091,0.00012372860641793483,0.0
16,-34762.1224340942,-34661.62243258918,-34661.62243258918,1.2366666666666668,-34762.1224340942,0.0,0.0,0.0
17,-34731.09699132556,-34630.596989820544,-34630.596989820544,1.3133333333333335,-34731.09699132556,0.0,0.0,0.0
18,-34700.07155934552,-34599.5715578405,-34599.5715578405,1.3900000000000001,-34700.07155934552,0.0,0.0,0.0
19,-34669.04611447797,-34568.54611297295,-34568.54611297295,1.4666666666666668,-34669.04611447797,0.0,0.0,0.0
20,-34638.02061149501,-34537.520609989995,-34537.520609989995,1.5433333333333334,-34638.02061149501,0.0,0.0,0.0
21,-34606.99515943125,-34506.495157926234,-34506.495157926234,1.62,-34606.99515943125,0.0,0.0,0.0
22,-34575.96980215427,-34475.469800649254,-34475.469800649254,1.6966666666666665,-34575.96980215427,0.0,0.0,0.0
23,-34544.94427325456,-34444.44427174954,-34444.44427174954,1.7733333333333332,-34544.94427325456,0.0,0.0,0.0
24,-34513.91882706616,-34413.418825561144,-34413.418825561144,1.8500000000000003,-34513.91882706616,0.0,0.0,0.0
25,-34482.89336484842,-34382.393363343406,-34382.393363343406,1.9266666666666667,-34482.89336484842,0.0,0.0,0.0
26,-34451.86794410558,-34351.36794260056,-34351.36794260056,2.0033333333333334,-34451.86794410558,0.0,0.0,0.0
27,-34420.842572629714,-34320.3425711247,-34320.3425711247,2.08,-34420.842572629714,0.0,0.0,0.0
28,-34389.817072499434,-34289.31707099442,-34289.31707099442,2.1566666666666667,-34389.817072499434,0.0,0.0,0.0
29,-34358.791651239146,-34258.29164973413,-34258.29164973413,2.2333333333333334,-34358.791651239146,0.0,0.0,0.0
30,-34327.76612461574,-34227.26612311072,-34227.26612311072,2.31,-34327.76612461574,0.0,0.0,0.0
31,-34296.74072199838,-34196.24072049336,-34196.24072049336,2.3866666666666667,-34296.74072199838,0.0,0.0,0.0
32,-34265.71525962961,-34165.21525812459,-34165.21525812459,2.4633333333333334,-34265.71525962961,0.0,0.0,0.0
33,-34234.68982707227,-34134.18982556725,-34134.18982556725,2.54,-34234.68982707227,0.0,0.0,0.0
34,-34203.66440094119,-34103.16439943617,-34103.16439943617,2.6166666666666667,-34203.66440094119,0.0,0.0,0.0
35,-34172.638944080194,-34072.13894257518,-34072.13894257518,2.6933333333333334,-34172.638944080194,0.0,0.0,0.0
36,-34141.61343404432,-34041.1134325393,-34041.1134325393,2.77,-34141.61343404432,0.0,0.0,0.0
37,-34110.58806062776,-34010.08805912274,-34010.08805912274,2.8466666666666667,-34110.58806062776,0.0,0.0,0.0
38,-34079.56256570318,-33979.06256419816,-33979.06256419816,2.9233333333333333,-34079.56256570318,0.0,0.0,0.0
39,-34048.53711407681,-33948.037112571794,-33948.037112571794,3.0,-34048.53711407681,0.0,0.0,0.0
